ID	CODE	NAME
688	HPZ	Pacific Coast Airlines
689	HQ	Harmony Airways
690	HQ (1)	Business Express
691	HQQ	Harlequin Air Corporation
692	HRA	Trans-National Airlines Haw
693	HRG	Heritage Airlines
694	HRQ	Tar Airlines
695	HRZ	Allegheny Airlines
696	HSV	Harbor Air Service
697	HSZ	Scenic Airlines Inc.
698	HU	Hainan Airlines Company Limited
699	HUB	Skystream Airlines
700	HVQ	Transavia Holland B. V.
701	HWK	Hawking Corporation
702	HX	Guy-America Airways Inc.
703	HY	Uzbekistan Airways
704	HYA	Hyannis Aviation
705	IA	Iraqi Airways
706	IB	Iberia Air Lines Of Spain
707	ICF	Iowa City Flying Service
708	ICH	Island Air Charters
709	ICQ	Iscargo Hf
710	IDQ	Intl Air Service Co. Ltd.
711	IEX	Island Air Express
712	IG	Meridiana S.p.A
713	IGA	Global Jet Austria, GmbH
714	III	Idee Industries Inc.
715	IJ	Great Wall Airlines Company Limited
716	IKQ	Tradewinds Airways Ltd.
717	IMP	Imperial Airlines Inc.
718	IN	Aerlinte Eireann Teoranta
719	INA	Inland Empire Airlines Inc.
720	IND	Indiana Airways Inc. (Pa)
721	INQ	Independent Air Inc.
722	IOW	Iowa Airways
723	IPI	Indo-Pacific International
724	IPQ	Aruba Cargo
725	IPS	Island Express
726	IR	Iran National Airlines Corp
727	IRQ	Interstate Airlines Inc.
728	ISL	Island Airlines
729	ITQ	Interamericana De Aviacion
730	IW	Air Liberte Aka Aom Minerve
731	IW (1)	Best Airlines Inc.
732	IXQ	Inair
733	J5	Alaska Seaplane Service
734	J6	Larrys Flying Service
735	J7	Valujet Airlines Inc.
736	JAG	JetAlliance Flugbetriebs d/b/a JAF Airservice
737	JAM	Sunbelt Airlines Inc.
738	JAQ	Jamaica Air Freighters
739	JB	Helijet International Inc.
740	JCM	Air Chico
741	JCQ	Jet Connection Businessflight Ag
742	JCZ	Rocky Mountain Airways Inc.
743	JD	Japan Air System Co. Ltd.
744	JER	Jer-Don Air
745	JF	L.A.B. Flying Service Inc.
746	JI	Jade Cargo International
747	JI (1)	Midway Airlines Inc.
748	JIQ	Jet Fleet Intl. Airlines
749	JJ	Transportes Aeros Meridiona
750	JK	Spanair S.A.
751	JK (1)	Sunworld International Airways Inc.
752	JKQ	Express One International Inc.
753	JL	Japan Air Lines Co. Ltd.
754	JM	Air Jamaica Limited
755	JMA	Jim Air Inc.
756	JN	Excel Airways
757	JO	Jalways Co. Ltd.
758	JQ	Jetstar Airways Pty Limited
759	JR	Aero California
760	JTA	Jetaire Airlines Inc.
761	JU	Yugoslav Airlines
762	JW	Arrow Air Inc.
763	JX	Southeast Airlines
764	JX (1)	Jes Air Ltd.
765	JXQ	Allarco Developments Ltd.
766	JZ	Japan Air Charter Co. Ltd.
767	K3	Venture Travel LLC d/b/a Taquan Air Service
768	K5	SeaPort Airlines, Inc. d/b/a Wings of Alaska
769	K7	Arizona Express
770	K8	Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines
771	K8 (1)	Dutch Caribbean Airlines
772	KA	Hong Kong Dragonair
773	KAH	Kenmore Air Harbor
774	KAI	Knight Airlines Inc.
775	KAQ	Kalitta Air LLC
776	KAT	Katmai Air
777	KB	Haiti Air
778	KE	Korean Air Lines Co. Ltd.
779	KEA	Keene Airways
780	KEE	Key Airlines
781	KET	Ketchikan Air Service
782	KFS	King Flying Service
783	KH	Aloha Air Cargo
784	KI	Time Air Ltd.
785	KIN	Golden Pacific Airlines
786	KKQ	Transmeridian Air Cargo Ltd.
787	KL	Klm Royal Dutch Airlines
788	KLQ	Kalitta Charters II
789	KM	Air Malta
790	KN	Morris Air Corporation
791	KO	Alaska Central Express
792	KOD	Kodiak Airways Inc.
793	KP	Kiwi International
794	KR	Kitty Hawk Aircargo
795	KR (1)	Kar-Air Oy
796	KS	Peninsula Airways Inc.
797	KTQ	Turks Air Ltd.
798	KU	Kuwait Airways Corp.
799	KW	Carnival Air Lines Inc.
800	KWQ	Kelowna Flightcraft Air Cha
801	KWZ	Crown Air
802	KX	Cayman Airways Limited
803	KXZ	Chaparral Airlines Inc.
804	KZ	Nippon Cargo Airlines
805	L2	Lynden Air Cargo Airlines
806	L3	Lynx Aviation d/b/a Frontier Airlines
807	L7	Lan Colombia
808	LA	Lan-Chile Airlines
809	LAA	La Skycab Airline
810	LAH	La Helicopter
811	LAN	Lancer Aviation Inc.
812	LAP	Lapsa
813	LAR	Laredo Air
